#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
0.993716	-0.0201037	-0.110115	-0.0337282	0.884241	-0.465811	0.106733	0.466597	0.878006	-87.1053	-143.043	557.459
0.989287	-0.133436	-0.0592154	0.0908955	0.880423	-0.465395	0.114235	0.455027	0.88312	-93.7311	-134.356	566.344
0.969263	-0.245896	-0.00804913	0.214255	0.859718	-0.463659	0.120932	0.447683	0.885977	-106.896	-131.386	577.99
0.949313	-0.299814	-0.0944256	0.225729	0.859291	-0.458984	0.218749	0.414405	0.883412	-120.762	-118.674	571.297
0.902833	-0.40464	-0.145458	0.302669	0.838318	-0.453448	0.305424	0.365362	0.879333	-128.108	-108.321	572.856
0.859943	-0.44696	-0.246424	0.310959	0.841673	-0.441464	0.404725	0.303006	0.862777	-142.764	-94.5058	568.583
0.790587	-0.536012	-0.296081	0.389485	0.813269	-0.432314	0.472519	0.226463	0.851728	-158.935	-76.9193	568.828
0.744751	-0.571227	-0.345031	0.420522	0.803164	-0.422005	0.518177	0.169195	0.838371	-175.759	-66.3348	569.624
0.695474	-0.601467	-0.393134	0.452521	0.791613	-0.410578	0.558158	0.107645	0.822722	-182.776	-48.3055	570.835
0.643319	-0.626354	-0.440252	0.485435	0.778386	-0.39808	0.592025	0.0423791	0.804805	-189.527	-37.8601	572.733
0.588894	-0.645574	-0.486249	0.519183	0.763255	-0.384565	0.619397	-0.0259842	0.784648	-206.02	-20.8146	579.616
0.492728	-0.689397	-0.530991	0.597024	0.711757	-0.370086	0.633073	-0.134663	0.762289	-221.999	-10.754	578.195
0.418916	-0.666983	-0.616152	0.621202	0.705433	-0.34128	0.662282	-0.239787	0.709848	-232.189	0.886292	580.836
0.321953	-0.682334	-0.656328	0.696234	0.640406	-0.324252	0.641564	-0.352564	0.681244	-246.115	9.28157	590.409
0.267223	-0.667758	-0.69476	0.729894	0.610989	-0.306506	0.629163	-0.425196	0.650663	-249.536	24.0369	590.128
0.202382	-0.610258	-0.765916	0.758466	0.592418	-0.271607	0.619492	-0.525953	0.582755	-246.199	41.1993	585.526
0.110553	-0.548547	-0.828779	0.821699	0.519547	-0.234266	0.559096	-0.655108	0.508178	-241.102	49.9007	587.545
0.0646483	-0.465584	-0.882639	0.850931	0.487757	-0.194961	0.521284	-0.738461	0.427712	-240.909	57.5868	585.49
0.00589851	-0.375294	-0.926887	0.905631	0.395043	-0.154189	0.424026	-0.838508	0.342208	-238.194	65.1879	591.216
-0.0126132	-0.276194	-0.961019	0.930425	0.348802	-0.112456	0.366265	-0.895575	0.252578	-228.168	75.6565	592.832
-0.0186786	-0.17356	-0.984646	0.952539	0.296192	-0.0702782	0.303842	-0.939227	0.15979	-217.667	80.9481	595.131
-0.0161735	-0.0688302	-0.997497	0.983804	0.177023	-0.0281666	0.178519	-0.981797	0.0648523	-204.84	88.144	610.717
0.011792	0.031829	-0.999424	0.998659	0.0500039	0.0133754	0.0504008	-0.998242	-0.0311967	-190.811	94.4124	616.102
0.0397481	0.0764915	-0.996278	0.996214	-0.0801839	0.0335892	-0.0773161	-0.993841	-0.0793891	-184.102	95.7256	634.158
0.0785129	0.11376	-0.990401	0.976201	-0.210229	0.0532397	-0.202155	-0.971011	-0.127559	-176.7	96.3821	646.673
0.117411	0.1492	-0.981812	0.957797	-0.278215	0.0722608	-0.262373	-0.94886	-0.175569	-165.656	96.8536	665.583
0.194233	0.21723	-0.9566	0.930491	-0.349549	0.109554	-0.31058	-0.911387	-0.270025	-144.959	96.4401	674.801
0.277556	0.273583	-0.920932	0.895305	-0.421305	0.144674	-0.348413	-0.86467	-0.361876	-123.408	94.3431	692.422
0.365285	0.317132	-0.875211	0.852145	-0.492375	0.177247	-0.374722	-0.810552	-0.450099	-105.195	90.8281	717.305
0.420488	0.320664	-0.848743	0.809362	-0.555326	0.19117	-0.410028	-0.767325	-0.493041	-86.9754	87.07	726.641
0.531907	0.307568	-0.788972	0.711194	-0.667992	0.219066	-0.459649	-0.677635	-0.57405	-67.5288	80.4497	747.293
0.603926	0.252938	-0.755841	0.6067	-0.76089	0.230133	-0.516903	-0.597552	-0.612978	-47.0477	76.0356	768.936
0.689885	0.238325	-0.683564	0.530085	-0.809386	0.252794	-0.49302	-0.536746	-0.684715	-27.6814	66.7491	796.593
0.76849	0.211389	-0.603936	0.447954	-0.851711	0.271893	-0.456903	-0.479482	-0.749224	-0.216148	55.6674	818.697
0.810207	0.167665	-0.561653	0.375589	-0.884151	0.277865	-0.449998	-0.436079	-0.779318	22.716	46.0737	835.952
0.84713	0.118957	-0.517899	0.300735	-0.910845	0.282701	-0.438097	-0.395235	-0.807379	46.2016	39.8268	847.264
0.90199	0.0675824	-0.426434	0.208876	-0.932704	0.293996	-0.377868	-0.354253	-0.855406	73.2296	25.3255	875.935
0.924005	-0.0508825	-0.378979	0.0688036	-0.952807	0.295678	-0.376139	-0.299283	-0.876897	96.6856	17.4262	887.895
0.943222	-0.176659	-0.281289	-0.0879929	-0.949478	0.301246	-0.320296	-0.25939	-0.911113	112.298	7.71669	906.768
0.94254	-0.241056	-0.231325	-0.166627	-0.939307	0.299895	-0.289577	-0.244118	-0.925501	124.765	-6.04854	927.633
0.934883	-0.305442	-0.180827	-0.244011	-0.923002	0.297532	-0.257783	-0.234034	-0.937431	146.369	-13.9843	948.087
