#r11	r12	r13	r21	r22	r23	r31	r32	r33	tx	ty	tz
0.0840302	-0.0144273	-0.996359	-0.217697	-0.976007	-0.00422733	-0.972392	0.217259	-0.0851549	-21.1665	-16.7446	960.642
0.153534	-0.0484329	-0.986956	-0.282491	-0.959265	0.00312873	-0.946903	0.278326	-0.160962	-1.15859	-22.1899	973.94
0.214264	-0.101103	-0.971529	-0.347537	-0.937433	0.0209084	-0.912858	0.333162	-0.235995	18.2418	-28.917	982.313
0.262103	-0.170215	-0.94991	-0.413228	-0.909313	0.0489212	-0.872092	0.379707	-0.308671	27.0942	-35.8969	986.17
0.280159	-0.210069	-0.936687	-0.356491	-0.928751	0.101665	-0.891305	0.305438	-0.335086	35.3764	-49.2826	989.918
0.321933	-0.277095	-0.905305	-0.305406	-0.935489	0.177729	-0.896151	0.219269	-0.385791	51.5474	-63.008	996.937
0.328814	-0.323894	-0.887116	-0.251063	-0.935526	0.248511	-0.910411	0.141008	-0.388932	65.234	-69.5442	1006.72
0.304905	-0.393803	-0.867152	-0.319996	-0.899935	0.296175	-0.897015	0.18718	-0.40041	78.2172	-84.5314	1009.23
0.285354	-0.492631	-0.822124	-0.39199	-0.842752	0.368934	-0.874595	0.216988	-0.433589	88.3531	-92.0248	1014.72
0.230409	-0.558213	-0.797063	-0.389644	-0.803495	0.450082	-0.891678	0.206868	-0.402637	93.4163	-106.22	1016.53
0.162841	-0.616668	-0.770197	-0.43921	-0.744314	0.503082	-0.883503	0.256356	-0.392052	96.4597	-113.557	1017.99
0.133876	-0.68989	-0.711427	-0.437415	-0.685311	0.582252	-0.889239	0.233239	-0.393515	99.3336	-120.74	1021.03
0.0916896	-0.727859	-0.679569	-0.425454	-0.645653	0.63413	-0.900323	0.230982	-0.368871	101.072	-134.695	1025.91
-0.00543187	-0.763349	-0.645964	-0.447656	-0.575775	0.684169	-0.894189	0.292886	-0.33859	101.603	-148.145	1029.92
-0.109913	-0.784247	-0.610636	-0.457054	-0.505671	0.731709	-0.882621	0.359518	-0.302864	100.943	-154.437	1030.97
-0.166872	-0.801947	-0.573615	-0.36335	-0.490811	0.791885	-0.916587	0.340566	-0.209485	99.0958	-166.598	1030.74
-0.226101	-0.814074	-0.534942	-0.324301	-0.454928	0.829379	-0.918536	0.361005	-0.161145	92.0985	-178.103	1031.19
-0.348845	-0.820264	-0.453292	-0.291105	-0.364912	0.884363	-0.890823	0.440461	-0.111485	87.5827	-183.611	1031.64
-0.410987	-0.814014	-0.410452	-0.178586	-0.369622	0.911859	-0.893978	0.448063	0.00653879	76.883	-188.776	1031.34
-0.523959	-0.768997	-0.366211	-0.0894618	-0.37789	0.921518	-0.847032	0.5156	0.129203	64.1405	-193.558	1028.99
-0.640079	-0.717663	-0.274332	0.0238211	-0.375425	0.926546	-0.767939	0.586528	0.257398	56.9617	-197.341	1026.53
-0.74446	-0.643256	-0.178889	0.0881552	-0.360286	0.928667	-0.661822	0.675585	0.324925	49.0484	-203.804	1023.39
-0.832055	-0.548786	-0.0807415	0.153354	-0.367472	0.917304	-0.533074	0.750865	0.389915	40.506	-207.223	1022.05
-0.898587	-0.438376	0.0191762	0.237317	-0.448768	0.861562	-0.369082	0.778739	0.507291	31.4398	-211.351	1017.93
-0.945336	-0.318582	0.069609	0.248306	-0.564861	0.786941	-0.211386	0.761208	0.613089	12.0109	-214.263	1011.39
-0.959158	-0.255996	0.120341	0.258198	-0.618555	0.742108	-0.115539	0.74287	0.659389	2.23763	-215.102	1006.26
-0.96622	-0.192613	0.171227	0.25708	-0.673633	0.692912	-0.0181197	0.713525	0.700395	-17.6579	-215.534	1000.65
